,antecedente,consecuente,soporte,confianza,lift
57,frozenset({'GRUPO_EDAD=31-50'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.18819601604337988,0.9380863737900224,1.5723084378966803
58,"frozenset({'SEXO=HOMBRE', 'GRUPO_EDAD=31-50'})",frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.15665449222105207,0.9373854748603351,1.5711336747490101
59,frozenset({'GRUPO_EDAD=18-30'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.08746181481398493,0.9348555005588376,1.5668932337266819
60,frozenset({'GRUPO_EDAD=50+'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.08407836459103572,0.9314082409399305,1.5611153485149718
61,"frozenset({'SEXO=HOMBRE', 'GRUPO_EDAD=50+'})",frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.07339771598437489,0.9286524286524287,1.5564963848097508
62,"frozenset({'ESTATUS_VICTIMA=DESAPARECIDA', 'GRUPO_EDAD=18-30'})",frozenset({'SEXO=HOMBRE'}),0.059595031631151645,0.6813834329632792,1.4107627453245069
63,frozenset({'GRUPO_EDAD=18-30'}),frozenset({'SEXO=HOMBRE'}),0.06344155892655746,0.6781095321730799,1.403984333870305
64,frozenset({'GRUPO_EDAD=18-30'}),"frozenset({'SEXO=HOMBRE', 'ESTATUS_VICTIMA=DESAPARECIDA'})",0.059595031631151645,0.6369950502953856,1.4024890034352622
65,frozenset({'ENTIDAD=ESTADO DE MÉXICO'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.07751312674120714,0.7235080870050195,1.2126579192153457
66,frozenset({'ENTIDAD=TAMAULIPAS'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.06084235213276868,0.6055605114481118,1.014968267751447
67,frozenset({'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS'}),frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.05429952123805896,0.6015721969383533,1.0082835308957736
68,"frozenset({'ENTIDAD=TAMAULIPAS', 'ORIGEN_REPORTE=PROCURADURIA GENERAL DE JUSTICIA DEL ESTADO DE TAMAULIPAS'})",frozenset({'ESTATUS_VICTIMA=DESAPARECIDA'}),0.05393354097111743,0.6014492753623188,1.0080775044182568
